,roll,pitch,yaw
297,71.8115035820808,-68.16609954002229,-80.21874320886876
298,70.81379104619404,-68.6121904552999,-80.0322361317046
299,69.52317000428354,-69.0729159274283,-79.86082466302491
300,68.0438119745767,-69.50458624566599,-79.70254018774527
301,66.4125342747081,-69.92146725611728,-79.55565858084898
302,64.60837025044853,-70.31103526226664,-79.41821275872327
303,62.417176026745885,-70.67486992398125,-79.29376120689557
304,59.031996366947844,-71.03406143895843,-79.21237505533537
305,54.75687178985472,-71.33616267403484,-79.15182628578408
306,50.09738012187005,-71.62428501996482,-79.10966771318948
307,45.9539436658848,-71.85680037320975,-79.04217170049343
308,42.72821583643176,-72.06012342933408,-78.96492856429118
309,40.005448033289966,-72.24608178316097,-78.88898544741619
310,37.81760492372794,-72.40441734227831,-78.81086817341617
311,35.97112005452752,-72.51514053164581,-78.75541019459338
312,35.601430007438935,-72.61412848527064,-78.69292364073442
313,36.55980310609315,-72.66912524447943,-78.62163201074634
314,38.176058308954254,-72.68477657831752,-78.57550220154835
315,39.945702890189715,-72.6834012686303,-78.53331790920844
316,41.55339660620546,-72.64819729069752,-78.51030313300649
317,43.25320295446567,-72.62907906305325,-78.49159424178676
318,44.96197717030793,-72.57303083324383,-78.47651278679335
319,46.60865773656655,-72.53262805666523,-78.46882148124806
320,47.662853789164515,-72.4744273866905,-78.47140616861867
321,48.12286788754598,-72.43162649361412,-78.48528103436497
322,48.421304295004916,-72.42342532130802,-78.48484620381551
323,48.37678685778922,-72.42243391485164,-78.47115822466935
324,48.069521894938966,-72.4792847709424,-78.43218664917596
325,47.435152594893175,-72.57123475246986,-78.35954112750949
326,46.368198705648446,-72.71639753098785,-78.28078968876324
327,44.57835918977627,-72.85996461370918,-78.20623689260691
328,41.7801240317952,-73.0441820999292,-78.14633942223281
329,37.68096638249516,-73.17373403517625,-78.13606319241956
330,31.51131365745372,-73.27488417797022,-78.20512561849414
331,23.678387195760177,-73.31201914330046,-78.35225748583389
332,11.496386206988044,-73.2909073631982,-78.5924068844022
333,-5.86203483470521,-73.23967843377581,-78.92649083527257
334,-27.068490470574183,-73.1962334624399,-79.34073624920615
335,-44.77448518856396,-73.15346615836607,-79.80732691373738
336,-56.24970213938747,-73.0739223617845,-80.28063146127191
337,-63.239383622986445,-72.9404107402763,-80.72617504657157
338,-66.9723571315965,-72.80151466104438,-81.06030745051402
339,-68.94370628549134,-72.61427881591791,-81.28721401721812
