,timestamp,x,y,z,w,roll,pitch,yaw
44,192492186142,0.470154,-0.312866,0.6793819999999999,0.468445,-0.6176902065395402,-1.1997524517874887,-0.3279443044831581
45,192492209311,0.467896,-0.316895,0.677124,0.47125200000000006,-0.49398628312284526,-1.2007816199634465,-0.2516839740245063
46,192492230469,0.46575900000000003,-0.321655,0.6738890000000001,0.474792,-0.37203178864745456,-1.2031563661164169,-0.18428089364254815
47,192492246102,0.464233,-0.326599,0.669983,0.478394,-0.27721343899039264,-1.2069710694911597,-0.13577109120474992
48,192492269216,0.46362299999999995,-0.33136,0.665588,0.48187299999999994,-0.23763108911083702,-1.2125429473160838,-0.11698196699906
49,192492291777,0.46398900000000004,-0.335266,0.661133,0.48492399999999997,-0.2696448117502825,-1.218764132498524,-0.13529336093318553
50,192492306211,0.465149,-0.338501,0.656982,0.487183,-0.328393066883217,-1.225611432845959,-0.16916767736403446
51,192492329275,0.466736,-0.34130900000000003,0.653198,0.48877,-0.38787810300487113,-1.2326922699784961,-0.20565653920231333
52,192492351722,0.468872,-0.343567,0.6499020000000001,0.489624,-0.4511584942988466,-1.2402926134029693,-0.24701969018488534
53,192492373282,0.47143599999999997,-0.344788,0.647461,0.48950200000000005,-0.5181877934071151,-1.2469600734065212,-0.2935498291823357
54,192492389253,0.474121,-0.34484899999999996,0.6461180000000001,0.488647,-0.5856105802539843,-1.2522608282548644,-0.34300089087097263
55,192492411769,0.476868,-0.34375,0.645691,0.48724399999999995,-0.6584877537132516,-1.2558047921163311,-0.39932556539721953
56,192492433676,0.47973599999999994,-0.34179699999999996,0.645813,0.48571800000000004,-0.7401776563820692,-1.2586395148269467,-0.466869164770477
57,192492449237,0.482483,-0.339233,0.646179,0.484192,-0.8218717437303422,-1.2598634531720707,-0.5402323850111131
58,192492471749,0.485046,-0.336853,0.646057,0.483521,-0.902397648181971,-1.2612954925854074,-0.6199413106147872
59,192492492791,0.48687700000000006,-0.334534,0.645508,0.484009,-0.9783995932437506,-1.2610172154497912,-0.7017459654121057
60,192492509211,0.48895299999999997,-0.33068800000000004,0.645752,0.484253,-1.05832335034124,-1.2589153178827504,-0.7948327965968017
