timestamp,Pitch,Roll,Yaw
1573316058720447,1.00088,0.663743,-0.851334
1573316058737041,1.0087,0.668972,-0.842553
1573316058758511,1.01551,0.673769,-0.835185
1573316058779984,1.01958,0.676572,-0.830902
1573316058796576,1.02455,0.675829,-0.829602
1573316058820976,1.02614,0.673827,-0.830594
1573316058840497,1.02547,0.669569,-0.833889
1573316058856115,1.02302,0.66208,-0.840728
1573316058878563,1.01888,0.65262,-0.849382
1573316058900033,1.01363,0.644738,-0.857654
1573316058915647,1.00777,0.636352,-0.866789
1573316058939071,1.00173,0.628781,-0.87419
1573316058961525,0.995224,0.62027,-0.883212
1573316058976165,0.990546,0.612584,-0.895975
1573316058998609,0.987674,0.605344,-0.915917
1573316059028864,0.987115,0.602515,-0.938292
1573316059035695,0.983953,0.602273,-0.960232
1573316059059119,0.978113,0.594561,-0.984867
1573316059081567,0.972955,0.577164,-1.01594
1573316059096208,0.968081,0.554817,-1.05383
1573316059118656,0.961065,0.538909,-1.09209
1573316059141141,0.950615,0.523723,-1.13227
1573316059155746,0.937737,0.507946,-1.17182
1573316059179168,0.924248,0.487586,-1.21375
1573316059201615,0.91078,0.463762,-1.25546
1573316059230076,0.895424,0.439071,-1.29651
1573316059238706,0.878601,0.41841,-1.33318
1573316059269936,0.863964,0.39876,-1.36918
1573316059270911,0.848497,0.38091,-1.40215
1573316059284576,0.831038,0.367014,-1.42922
1573316059307027,0.811963,0.355291,-1.45766
1573316059327523,0.791342,0.344718,-1.48649
1573316059350944,0.772375,0.336085,-1.50979
1573316059364783,0.757754,0.32603,-1.5289
1573316059387056,0.743768,0.316191,-1.54784
1573316059404625,0.730223,0.304436,-1.56729
1573316059424370,0.718958,0.29697,-1.58223
1573316059446596,0.709727,0.294276,-1.59375
1573316059465136,0.702037,0.291668,-1.60345
1573316059485629,0.69649,0.288632,-1.61119
1573316059507103,0.693672,0.285255,-1.61666
1573316059524670,0.6933,0.28173,-1.62037
1573316059546143,0.693295,0.279055,-1.62419
1573316059566637,0.69322,0.279472,-1.62831
1573316059585185,0.695351,0.280373,-1.62986
1573316059604703,0.697938,0.281402,-1.62969
1573316059628127,0.698804,0.280743,-1.63027
1573316059641795,0.698101,0.279149,-1.62964
1573316059664238,0.686711,0.282048,-1.62569
1573316059687662,0.678101,0.286011,-1.61992
1573316059703277,0.673756,0.290179,-1.61242
1573316059724749,0.663374,0.285524,-1.60942
1573316059747197,0.656405,0.292895,-1.5979
1573316059761837,0.64263,0.299313,-1.58637
1573316059784286,0.630728,0.31814,-1.56788
1573316059808685,0.611725,0.33213,-1.55262
1573316059823327,0.581305,0.350309,-1.53539
1573316059844800,0.547057,0.369363,-1.51832
1573316059867250,0.506938,0.389248,-1.50416
1573316059881887,0.459713,0.40938,-1.49133
1573316059904333,0.406373,0.430294,-1.47998
1573316059927765,0.346872,0.45281,-1.47023
1573316059950207,0.286652,0.47666,-1.46299
1573316059964847,0.224726,0.49853,-1.46013
1573316059987294,0.163057,0.520706,-1.45919
1573316060010742,0.0984082,0.542435,-1.45884
1573316060024405,0.0352448,0.562776,-1.45839
1573316060047829,-0.0227866,0.589389,-1.46104
1573316060070259,-0.0749683,0.618979,-1.46576
1573316060083942,-0.122536,0.643742,-1.46733
1573316060106366,-0.166669,0.656334,-1.4611
1573316060129813,-0.202999,0.65982,-1.45464
1573316060144454,-0.236896,0.668415,-1.45514
1573316060166899,-0.274531,0.68294,-1.45665
1573316060190324,-0.3125,0.694267,-1.45417
1573316060203989,-0.341573,0.702481,-1.45184
1573316060226438,-0.358982,0.713323,-1.45431
1573316060258623,-0.370752,0.729261,-1.45859
1573316060264500,-0.371882,0.74471,-1.46089
1573316060286928,-0.354749,0.746827,-1.46059
1573316060310351,-0.341634,0.737851,-1.4598
1573316060324016,-0.336816,0.727192,-1.45824
1573316060346466,-0.337249,0.718597,-1.45803
1573316060362082,-0.343591,0.717206,-1.45717
1573316060384549,-0.356693,0.721119,-1.45495
1573316060406976,-0.372111,0.727425,-1.45204
1573316060421637,-0.385663,0.735679,-1.44715
1573316060444085,-0.390903,0.748816,-1.4414
1573316060466533,-0.387597,0.762668,-1.4407
1573316060482149,-0.384026,0.769971,-1.44355
1573316060504577,-0.386883,0.768156,-1.44548
1573316060527027,-0.393124,0.763164,-1.44694
1573316060544589,-0.398156,0.761533,-1.44797
1573316060566060,-0.400741,0.762805,-1.44786
1573316060586555,-0.401928,0.765583,-1.44827
1573316060605100,-0.402428,0.767927,-1.4506
1573316060625598,-0.403238,0.767589,-1.45337
1573316060647070,-0.404266,0.765555,-1.45571
1573316060664638,-0.404947,0.76422,-1.45773
1573316060686109,-0.406624,0.765544,-1.45953
1573316060706605,-0.40798,0.767971,-1.46054
1573316060725147,-0.407221,0.770613,-1.46303
1573316060745643,-0.407643,0.771945,-1.46448
1573316060773947,-0.408474,0.771639,-1.46529
1573316060789563,-0.409489,0.770764,-1.46605
